layer,position,log_prob_delta,ex_idx
0,s1_in_r1,0.0,0
0,o1_in_r1,0.0,0
0,s2_in_r1,0.0,0
0,o2_in_r1,0.0,0
0,s1_in_r2,0.0,0
0,o3_in_r2,0.0,0
0,s2_in_r2,0.0,0
0,o4_in_r2,0.0,0
0,s1_in_cue,0.0,0
0,o1_in_cue,0.0,0
0,s2_in_cue,0.0,0
0,analogy_site,0.0,0
1,s1_in_r1,0.0,0
1,o1_in_r1,0.0,0
1,s2_in_r1,0.0,0
1,o2_in_r1,0.0,0
1,s1_in_r2,0.0,0
1,o3_in_r2,0.0,0
1,s2_in_r2,0.0,0
1,o4_in_r2,0.0,0
1,s1_in_cue,0.0,0
1,o1_in_cue,0.0,0
1,s2_in_cue,0.0,0
1,analogy_site,0.0,0
2,s1_in_r1,0.0,0
2,o1_in_r1,0.0,0
2,s2_in_r1,0.0,0
2,o2_in_r1,0.0,0
2,s1_in_r2,0.0,0
2,o3_in_r2,0.0,0
2,s2_in_r2,0.0,0
2,o4_in_r2,0.0,0
2,s1_in_cue,0.0,0
2,o1_in_cue,0.0,0
2,s2_in_cue,0.0,0
2,analogy_site,0.0,0
3,s1_in_r1,0.0,0
3,o1_in_r1,0.0,0
3,s2_in_r1,0.0,0
3,o2_in_r1,0.0,0
3,s1_in_r2,0.0,0
3,o3_in_r2,0.0,0
3,s2_in_r2,0.0,0
3,o4_in_r2,0.0,0
3,s1_in_cue,0.0,0
3,o1_in_cue,0.0,0
3,s2_in_cue,0.0,0
3,analogy_site,0.0,0
4,s1_in_r1,0.0,0
4,o1_in_r1,0.0,0
4,s2_in_r1,0.0,0
4,o2_in_r1,0.0,0
4,s1_in_r2,0.0,0
4,o3_in_r2,0.0,0
4,s2_in_r2,0.0,0
4,o4_in_r2,0.0,0
4,s1_in_cue,0.0,0
4,o1_in_cue,0.0,0
4,s2_in_cue,0.0,0
4,analogy_site,0.0,0
5,s1_in_r1,0.0,0
5,o1_in_r1,0.0,0
5,s2_in_r1,0.0,0
5,o2_in_r1,0.0,0
5,s1_in_r2,0.0,0
5,o3_in_r2,0.0,0
5,s2_in_r2,0.0,0
5,o4_in_r2,0.0,0
5,s1_in_cue,0.0,0
5,o1_in_cue,0.0,0
5,s2_in_cue,0.0,0
5,analogy_site,0.0,0
6,s1_in_r1,0.0,0
6,o1_in_r1,0.0,0
6,s2_in_r1,0.0,0
6,o2_in_r1,0.0,0
6,s1_in_r2,0.0,0
6,o3_in_r2,0.0,0
6,s2_in_r2,0.0,0
6,o4_in_r2,0.0,0
6,s1_in_cue,0.0,0
6,o1_in_cue,0.0,0
6,s2_in_cue,0.0,0
6,analogy_site,0.0,0
7,s1_in_r1,0.0,0
7,o1_in_r1,0.0,0
7,s2_in_r1,0.0,0
7,o2_in_r1,0.0,0
7,s1_in_r2,0.0,0
7,o3_in_r2,0.0,0
7,s2_in_r2,0.0,0
7,o4_in_r2,0.0,0
7,s1_in_cue,0.0,0
7,o1_in_cue,0.0,0
7,s2_in_cue,0.0,0
7,analogy_site,0.0,0
8,s1_in_r1,0.0,0
8,o1_in_r1,0.0,0
8,s2_in_r1,0.0,0
8,o2_in_r1,0.0,0
8,s1_in_r2,0.0,0
8,o3_in_r2,0.0,0
8,s2_in_r2,0.0,0
8,o4_in_r2,0.0,0
8,s1_in_cue,0.0,0
8,o1_in_cue,0.0,0
8,s2_in_cue,0.0,0
8,analogy_site,0.0,0
9,s1_in_r1,0.0,0
9,o1_in_r1,0.0,0
9,s2_in_r1,0.0,0
9,o2_in_r1,0.0,0
9,s1_in_r2,0.0,0
9,o3_in_r2,0.0,0
9,s2_in_r2,0.0,0
9,o4_in_r2,0.0,0
9,s1_in_cue,0.0,0
9,o1_in_cue,0.0,0
9,s2_in_cue,0.0,0
9,analogy_site,0.0,0
10,s1_in_r1,0.0,0
10,o1_in_r1,0.0,0
10,s2_in_r1,0.0,0
10,o2_in_r1,0.0,0
10,s1_in_r2,0.0,0
10,o3_in_r2,0.0,0
10,s2_in_r2,0.0,0
10,o4_in_r2,0.0,0
10,s1_in_cue,0.0,0
10,o1_in_cue,0.0,0
10,s2_in_cue,0.0,0
10,analogy_site,0.0,0
11,s1_in_r1,0.0,0
11,o1_in_r1,0.0,0
11,s2_in_r1,0.0,0
